Time, Variation Distance, Total Energy, Number of Interactions, Plus Nodes, Minus Nodes, Energyexchanged
0, 25.126532692873266 , 47.88 , 0.0, 50.04 , 50.96, 0.0
100, 18.25027911587174 , 56.81481822962983 , 46.22, 49.9 , 51.1, 0.0
200, 16.34586555034467 , 50.22387373038327 , 59.81, 50.72 , 50.28, 0.0
300, 15.475242057259097 , 46.734386116438465 , 66.31, 50.77 , 50.23, 0.0
400, 14.85700036032896 , 45.695768552093625 , 70.56, 50.93 , 50.07, 0.0
500, 14.428954684254814 , 50.32156417862782 , 73.46, 50.99 , 50.01, 0.0
600, 14.125937520954443 , 52.123144704083124 , 75.55, 51.08 , 49.92, 0.0
700, 13.949156215671419 , 54.92613679937501 , 76.84, 51.02 , 49.98, 0.0
800, 13.81039385202792 , 55.114011338413846 , 78.03, 51.0 , 50.0, 0.0
900, 13.673056349757424 , 53.83955365011343 , 78.98, 51.09 , 49.91, 0.0
1000, 13.567416125950238 , 52.09990693145404 , 79.68, 51.18 , 49.82, 0.0
